cmc_id,symbol,name,obs_months,current_class,proposed_class,rationale,changed
1230,STEEM,Steem,122,other,coin,"Steem (STEEM): native coin of the Steem DPoS chain; staked as Steem Power, witnesses/producers earn issuance.",True
1320,ARDR,Ardor,116,other,coin,Ardor (ARDR): native coin of the Ardor PoS chain (Nxt successor); forging rewards.,True
2405,IOST,IOST,101,other,coin,IOST: native coin of the IOST L1 (Proof-of-Believability); staked for block-production rewards.,True
2840,QKC,QuarkChain,96,other,coin,QuarkChain (QKC): native coin of the QuarkChain sharded L1; staked/mined block rewards.,True
2585,CENNZ,CENNZnet,76,other,coin,CENNZnet (CENNZ): native coin of the CENNZnet L1; staking for security.,True
1925,WTC,Waltonchain,75,other,coin,Waltonchain (WTC): native coin of the Waltonchain L1 (Proof-of-Stake-and-Trust).,True
5034,KSM,Kusama,70,other,coin,"Kusama: Polkadot canary-net L1, NPoS; validators/nominators stake KSM for chain security+rewards (DeFiLlama 'Liquid Staking' is a mislabel).",True
1955,NEBL,Neblio,66,other,coin,Neblio (NEBL): native coin of the Neblio PoS chain; staking rewards.,True
4747,VLX,Velas,61,other,coin,Velas (VLX): native coin of the Velas L1 (AIDPoS); staked for chain security.,True
2346,WICC,WaykiChain,61,other,coin,WaykiChain (WICC): native coin of the WaykiChain DPoS L1.,True
8677,XYM,Symbol,61,other,coin,Symbol (XYM): native coin of the Symbol chain; PoS+ ('posplus') harvesting rewards (consensus tag the first-pass exact-set missed).,True
4189,UOS,Ultra,60,other,coin,Ultra (UOS): native coin of the Ultra L1 (EOSIO/DPoS).,True
28932,DYM,Dymension,26,other,coin,Dymension (DYM): Cosmos-SDK L1 RollApp settlement chain; DYM bonded by validators for PoS security.,True
15185,KUJI,Kujira,23,other,coin,"Kujira (KUJI): sovereign Cosmos L1; KUJI staked by validators for chain security (DeFiLlama 'Liquidations' tags its apps, not the chain).",True
28321,POL,Polygon (prev. MATIC),21,other,coin,Polygon (POL): native gas+staking token of Polygon PoS; validators stake POL to secure the chain (DeFiLlama 'Chain').,True
18934,STG,Stargate Finance,40,other,token,Stargate Finance (STG): LayerZero bridge protocol; veSTG vote-escrow with protocol fee-share + governance (bridge category the first pass didn't promote).,True
1455,GLM,Golem,115,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
1759,SNT,Status,108,other,other,keep other -- privacy utility token (no security-staking benefit and no governance/fee-share lock).,False
1816,CVC,Civic,107,other,other,keep other -- identity utility token (no security-staking benefit and no governance/fee-share lock).,False
1788,MTL,Metal DAO,107,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
1772,STORJ,Storj,107,other,other,keep other -- DePIN/infrastructure token (no security-staking benefit and no governance/fee-share lock).,False
1975,LINK,Chainlink,105,other,other,keep other -- wrapped/tokenized asset (no security-staking benefit and no governance/fee-share lock).,False
1966,MANA,Decentraland,105,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
1974,PRO,Propy,105,other,other,keep other -- wrapped/tokenized asset (no security-staking benefit and no governance/fee-share lock).,False
1886,DENT,Dent,104,other,other,keep other -- services utility token (no security-staking benefit and no governance/fee-share lock).,False
2087,KCS,KuCoin Token,103,other,other,keep other -- exchange/discount token (no security-staking benefit and no governance/fee-share lock).,False
2132,POWR,Powerledger,103,other,other,keep other -- media/social token (no security-staking benefit and no governance/fee-share lock).,False
2303,MED,MediBloc,101,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
1856,DNT,district0x,100,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
2682,HOT,Holo,97,other,other,keep other -- DePIN/infrastructure token (no security-staking benefit and no governance/fee-share lock).,False
2694,NEXO,Nexo,97,other,other,keep other -- payments utility token (no security-staking benefit and no governance/fee-share lock).,False
2143,DATA,Streamr,94,other,other,keep other -- AI/data utility token (no security-staking benefit and no governance/fee-share lock).,False
2289,GFT,Gifto,91,other,other,keep other -- gaming/metaverse token (no security-staking benefit and no governance/fee-share lock).,False
291,MAID,MaidSafeCoin,90,other,other,keep other -- DePIN/compute token (no security-staking benefit and no governance/fee-share lock).,False
2297,STMX,StormX,90,other,other,keep other -- no coin (security-staking) or token (governance/fee-share) mechanism evident from tags/DeFiLlama.,False
